Index,Name,PosX,PosY,Width,Height
1,Question 1,46.8809,199.6219,508.8847,578.4499
2,Question 2,43.1002,912.6654,504.3478,1231.758
-2,,28.7335,1603.7807,536.1059,174.6692
3,Question 3,49.1493,2159.5463,493.7618,676.7486
-3,,20.4159,2418.1474,543.6673,230.6238
4,Question 4,52.1739,2839.3195,490.7372,333.4594
5,Question 5,51.4178,3187.9017,492.2495,545.9357
-5,,29.4896,3363.327,534.5936,145.9357
6,Question 6,52.1739,3749.7164,492.2495,446.8809
7,Question 7,54.4423,4357.656,488.4688,378.0718
