Index,Name,PosX,PosY,Width,Height
1,Question 1,58.2231,205.6711,486.9565,572.4008
2,Question 2,53.6862,905.8601,498.2987,1241.5879
-2,,33.2703,1612.0983,539.8866,161.0586
3,Question 3,54.4423,2167.8639,493.0057,661.6257
-3,,28.7335,2421.9282,540.6427,229.1115
4,Question 4,53.6862,2836.2949,497.5425,344.8015
5,Question 5,48.3932,3200,498.2987,548.9603
-5,,32.5142,3373.1569,524.0076,147.448
6,Question 6,59.7353,3765.5955,485.4442,454.4423
7,Question 7,55.9546,4368.242,493.0057,379.5841
