Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,48.0273,49.075,535.161,535.2568,
-1,,448.4479,548.2616,143.6841,55.1866,
2,Question 2,16.5808,588.1104,566.6075,524.2977,
-2,,8.5763,822.2381,585.4753,46.8838,
-2,,13.1503,1071.6299,46.8135,47.1237,
-2,,284.8017,1080.7918,11.177,18.915,
-2,,267.1386,1100.3534,24.1623,17.34,
3,Question 3,13.1503,1113.4248,566.1215,1125.0443,
-3,,0,1646.1621,604.2574,83.4479,
4,Question 4,18.2961,2243.2956,564.3205,812.4614,
-4,,9.1481,2548.6118,579.186,39.264,
