Index,Name,PosX,PosY,Width,Height
1,Question 1,47.1395,68.9504,490.392,1543.6441
-1,,76.6897,37.2895,104.1291,40.8074
-1,,507.2778,49.2503,35.1788,34.4752
-1,,26.7359,728.904,531.1993,191.3725
-1,,512.9064,906.9085,30.9573,35.1788
2,Question 2,45.7324,1799.7455,472.099,671.2108
-2,,496.0206,1779.3418,28.8466,27.4394
3,Question 3,64.7289,2644.0358,460.1382,659.9536
-3,,504.4635,2632.075,31.6609,33.7716
4,Question V200,87.9469,3519.987,429.8845,1981.9715
-4,,75.9861,4198.9371,456.6203,182.9296
-4,,68.2468,5056.5954,458.0275,187.151
