Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,6.3322,27.4394,583.9675,332.7911,
2,Question 2,7.7393,361.6377,586.7818,175.1902,
-2,,4.2215,516.4242,275.0979,26.0323,
-2,,374.302,531.1993,27.4394,14.0715,
3,Question 3,7.0358,521.3493,589.5961,761.972,
-3,,454.5096,508.6849,144.2329,23.9216,
-3,,301.1302,515.0171,35.1788,21.1073,
-3,,2.1107,817.5545,624.0713,46.436,
-3,,544.5672,861.8797,37.2895,16.8858,
4,Question 4,7.7393,1287.5427,584.671,600.1497,
-4,,2.8143,1644.959,604.3711,83.7255,
-4,,553.0102,1722.3522,32.3645,19.7001,
-4,,373.5985,1870.103,23.218,29.5502,
-4,,474.2097,1878.5459,105.5363,18.9965,
5,Question 5,7.7393,1875.0281,576.9317,239.2156,
-5,,11.2572,1863.7709,271.58,21.1073,
