Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,45.8853,78.9228,513.457,1321.8955,
-1,,26.0534,823.631,544.3298,93.5755,
-1,,29.7922,1387.4538,424.1994,13.754,
2,Question 2,39.0801,1400.8183,518.8551,1101.7989,
-2,,25.3287,1686.4699,548.7887,94.2791,
-2,,35.8638,2483.8601,433.5832,24.4722,
3,Question 3,34.8729,2644.1891,527.2838,1078.7805,
-3,,14.6833,3420.5692,570.8137,85.0408,
-3,,27.2941,3706.3766,455.1523,18.9671,
4,Question 4,38.8097,3720.0084,519.7679,1029.8829,
-4,,25.0825,4248.0846,558.287,114.0847,
-4,,37.1339,4735.7673,429.8592,18.6201,
