Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,52.7681,109.0542,475.7435,2326.938,
-1,,26.9839,727.634,546.1907,222.3843,
-1,,38.1496,1599.4922,545.2603,214.01,
2,Question 2,51.1763,2676.0555,455.0039,1282.1991,
-2,,39.0801,3220.3853,495.0144,311.7102,
3,Question 3,51.1763,3969.4203,481.9877,2416.4521,
-3,,36.2887,4155.516,517.3459,257.7425,
-3,,28.8448,5045.0532,526.6507,212.149,
-3,,28.8448,5923.4247,523.8593,198.1919,
4,Question 4,53.0373,6397.0382,479.1963,1651.5989,
-4,,21.401,6770.16,538.7469,214.01,
-4,,17.6791,7642.9486,530.3726,204.7052,
