Index,Name,PosX,PosY,Width,Height
1,Question 1,43,206.3592,522,1698
-1,,307,1770.3592,274,145
-1,,29,1625.3592,554,151
-1,,33.2703,752.2949,542.9112,161.0586
2,Question 2,43.8563,1774.6011,527.7883,1140.2647
-2,,29.4896,1759.4783,276.7486,151.9849
-2,,305.482,2613.1645,272.9679,307.7505
-2,,34.7826,2464.9603,546.6919,176.1815
3,Question 3,45.3686,2637.3611,537.6181,675.9924
-3,,35.5388,2615.4329,268.431,304.7259
-3,,302.4575,3087.2665,286.5784,244.2344
-3,,30.2457,3044.1664,272.2117,302.4575
4,Question 4,45.3686,3084.242,536.1059,1055.5766
-4,,33.2703,3342.8431,552.741,157.2779
5,Question 5,36.2949,4407.4934,533.8374,861.2476
-5,,303.2136,5207.4934,276.7486,70.3214
-5,,21.9282,5075.1682,558.7902,149.7164
6,Question 6,35.5388,5224.8847,533.8374,1433.6484
-6,,303.9698,6084.62,277.5047,592.8166
-6,,24.1966,5934.1474,554.2533,150.4726
-6,,30.2457,5202.9565,279.017,72.5898
7,Question 7,42.344,6083.8639,526.276,1171.2665
-7,,33.2703,6059.6673,271.4556,599.6219
-7,,21.9282,6795.3951,558.034,152.9036
