Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,67.2968,90.7372,474.8582,863.5161,
-1,,55.9546,699.4329,528.5444,183.7429,
2,Question 2,68.0529,979.9622,464.2722,768.242,
-2,,45.3686,1516.0681,514.9338,175.4253,
3,Question 3,67.2968,1753.4972,460.4915,815.1229,
-3,,37.051,2328.1664,527.7883,178.4499,
4,Question 4,78.6389,2576.9376,446.1248,408.3176,
5,Question 5,66.5406,3008.6957,507.3724,1411.7202,
-5,,59.7353,3152.9452,532.3251,243.4783,
-5,,59.7353,3912.1134,537.6181,219.2817,
