Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,40.9909,75.252,492.5027,242.2746,
2,Question 2,35.4847,319.9738,520.0339,671.1496,
-2,,23.2486,799.6286,563.472,150.5039,
-2,,26.3076,921.3777,37.3201,71.5811,
3,Question 3,48.9444,994.7942,505.9624,142.5505,
-3,,34.2611,1122.0496,81.37,21.4132,
4,Question 4,34.2611,1123.2732,545.1179,1252.364,
-4,,212.908,1106.7545,353.623,34.2611,
-4,,25.084,1123.885,21.4132,152.9511,
-4,,18.3541,1258.482,25.084,141.9387,
-4,,18.9659,1355.7589,20.1896,122.3609,
-4,,12.2361,1598.6453,591.0032,195.7775,
-4,,356.0703,1749.1493,237.992,52.0034,
-4,,18.9659,1774.8451,31.202,324.2564,
-4,,18.9659,1984.694,24.4722,406.2382,
5,Question 5,67.2985,2606.8993,500.4561,802.5113,
