Index,Name,PosX,PosY,Width,Height
1,Question 1,28.7548,42.8263,122.3609,58.7332
2,Question 2,26.9194,102.1714,505.3506,337.7161
3,Question 3,29.3666,440.4993,552.4595,213.5198
-3,,14.0715,630.1587,149.2803,47.109
4,Question 4,29.3666,633.2177,574.4845,2072.7939
-4,,410.5209,622.8171,46.4971,36.0965
-4,,0,799.6286,613.0282,83.8172
-4,,550.0123,853.4674,55.0624,40.3791
-4,,20.8014,1660.4376,609.3574,66.6867
-4,,539.6116,1711.2174,68.5221,51.3916
-4,,18.9659,2536.5418,619.1462,67.2985
-4,,545.1179,2590.3806,45.2735,36.0965
5,Question 5,29.3666,2700.5054,559.8012,1930.8552
-5,,367.0827,2687.6575,33.0374,21.4132
-5,,19.5777,3325.1579,599.5685,128.479
-5,,549.4005,3446.907,45.2735,40.3791
-5,,15.2951,4219.0043,581.2143,95.4415
-5,,551.2359,4311.3868,53.8388,36.0965
6,Probleme V200,28.7548,4635.0314,565.3074,1935.7497
-6,,17.1305,5075.6003,604.4629,120.5255
-6,,556.1304,5171.6536,40.3791,33.0374
-6,,15.2951,6004.9315,606.9101,45.8853
-6,,546.9533,6031.8509,46.4971,39.1555
