Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,13.4597,94.8297,578.1553,1161.2051,
-1,,6.118,786.1689,604.4629,85.6526,
-1,,275.3121,858.9736,327.3154,404.4028,
2,Question 2,14.6833,871.2097,562.2484,1626.7884,
-2,,9.7889,854.691,266.7468,416.0271,
-2,,267.3586,1646.3661,26.9194,37.9319,
-2,,-1.8354,1681.239,583.0498,42.2145,
-2,,301.6197,2091.7598,281.4301,414.8035,
-2,,283.2655,2493.1036,31.202,30.5902,
3,Question 3,4.8944,2085.03,583.6616,1326.7339,
-3,,0.6118,2073.7473,301.6197,431.934,
-3,,-1.2236,2462.855,592.8386,126.6435,
-3,,282.0419,2490.3862,33.0374,32.4256,
-3,,272.8648,3382.3973,26.9194,25.084,
