Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,68.9504,106.9434,472.8026,1052.5486,
-1,,40.8074,762.6756,522.7564,99.9077,
2,Question 2,66.8396,1185.5243,465.7668,357.4162,
3,Question 3,64.0253,1690.6913,467.8775,1862.3637,
-3,,49.2503,2396.3773,505.8706,98.5005,
-3,,40.1038,3173.828,514.3135,143.5294,
4,Question 4,61.211,3560.0908,472.099,727.4968,
-4,,52.7681,4021.6362,493.9098,98.5005,
5,Question 5,61.9146,4292.5127,474.9133,816.1473,
-5,,50.6574,4799.7904,545.9744,136.4936,
6,Question 6,62.6182,5114.9921,481.2455,535.6757,
