Index,Name,PosX,PosY,Width,Height
1,Question 1,68.5221,111.9602,477.8194,188.4358
2,Question 2,64.2395,323.0328,482.7138,2884.0468
-2,,39.1555,798.405,518.8103,137.0442
-2,,46.4971,1617.6113,527.9873,177.4233
-2,,48.9444,2509.0106,534.7172,151.7275
3,Question 3,68.5221,3217.4802,478.4312,1493.415
-3,,60.5687,3372.2668,527.3755,148.6685
-3,,58.7332,4217.1689,515.1395,167.6345
4,Question 4,71.5811,4733.532,475.3722,806.9702
-4,,53.8388,5077.3661,506.5742,165.799
5,Question 5,73.4165,5563.139,471.7013,1093.8067
-5,,55.6742,5939.9107,518.8103,162.74
