Index,Name,PosX,PosY,Width,Height
1,Question 1,69.7457,100.3359,434.3812,268.5822
2,Question 2,73.4165,388.4959,444.7819,1062.0927
-2,,62.4041,758.0259,481.4902,173.1407
3,Question 3,70.3575,1473.8372,451.5118,1753.4319
-3,,56.8978,1591.9155,499.8443,214.7434
-3,,50.168,2391.5441,498.6207,255.1225
4,Question 4,65.4631,3522.1589,460.077,1148.969
-4,,44.6617,4155.9885,516.9749,231.8739
5,Question 5,72.8047,4694.3765,450.2882,297.337
6,Question 6,70.9693,5023.5273,355.4585,788.6161
-6,,34.8729,5065.7419,408.6855,182.9296
