Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,53.2004,201.0975,494.2317,838.4383,
-1,,29.7922,703.8413,534.664,246.3178,
2,Question 2,48.9444,1054.9639,502.2118,2624.3756,
-2,,32.9842,1619.9521,544.7721,174.4973,
-2,,35.1123,2447.7503,544.2401,209.6096,
-2,,34.5803,3352.6891,544.2401,165.4532,
3,Question 3,56.9244,3691.0436,495.8277,1037.4078,
-3,,38.3043,4205.4914,530.408,173.9653,
4,Question 4,50.5404,4745.4755,495.2957,730.4415,
-4,,21.8122,5029.5656,546.3681,214.3976,
5,Question 5,54.2644,5507.3052,494.2317,1136.8925,
-5,,39.9003,5870.1319,518.7039,231.9537,
6,Question 6,56.9244,6963.4,492.6357,671.9232,
