Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,15.7804,36.1634,585.1894,755.4862,
2,Question 2,26.9582,865.9489,560.2038,1042.1632,
-2,,548.3685,850.826,56.5464,50.6287,
-2,,7.2327,1611.5723,627.928,122.298,
-2,,554.9437,1721.146,37.4784,34.1908,
3,Question 3,21.698,1912.0572,562.1764,1266.3763,
-3,,14.3667,2536.6128,589.7921,61.2476,
-3,,559.7464,2576.4654,47.4555,37.7357,
-3,,-0.6575,3157.7447,387.9346,32.5241,
4,Question 4,25.7089,3154.7108,575.4253,970.8885,
-4,,472.1514,3136.2048,93.9843,39.8493,
-4,,338.6938,3142.5957,228.1938,14.2856,
-4,,16.6352,3402.7259,629.1115,53.6862,
-4,,563.327,3445.0699,34.7826,34.7826,
