Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,68.0386,191.5373,453.9721,906.2289,
-1,,60.0341,734.7029,515.1497,206.9747,
2,Question 2,66.3234,1148.0805,459.6896,1296.7364,
-2,,60.6058,1611.7724,500.8558,189.8221,
3,Question 3,64.6081,2663.2266,465.4071,1200.6818,
-3,,53.7448,3217.8273,500.2841,311.6055,
4,Question 4,65.7516,3871.3412,470.5529,1591.1893,
-4,,58.8906,5057.7292,503.1429,196.6831,
-4,,56.0318,4188.6643,499.7123,200.1136,
5,Question 5,67.4669,5465.3893,469.9812,1257.9526,
-5,,59.4623,5886.2951,506.5734,230.4166,
