Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,32.8758,87.4497,578.6143,1347.9083,
-1,,9.2052,799.5397,614.7777,67.7242,
2,Question 2,17.7529,1453.1109,581.2443,2037.6428,
-2,,547.711,1685.2141,34.8484,19.7255,
-2,,8.5477,1700.337,617.4077,42.7386,
-2,,9.8627,2559.7107,617.4077,34.8484,
-2,,472.0967,3405.2766,46.0261,17.0954,
-2,,6.5752,3425.0021,607.545,37.4784,
3,Question 3,27.6157,3509.1641,565.464,764.6914,
4,Probleme V200,63.7791,4345.5248,512.2051,1137.5031,
-4,,43.3961,5092.4632,557.5738,118.3529,
