Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,35.5059,49.9712,558.2313,505.63,
2,Question 2,26.9582,565.464,559.5463,1041.5057,
-2,,17.7529,787.7044,591.1071,91.3948,
-2,,546.396,869.2365,54.5738,25.6431,
3,Question 3,26.9582,1736.5004,532.5881,365.579,
4,Question 4,28.9307,2115.2297,549.6836,637.1332,
-4,,19.7255,2498.5617,597.0247,97.3124,
5,Question 5,32.8758,2758.9381,520.7529,186.0771,
6,Question 6,32.2183,2947.6453,533.2457,256.4313,
7,Question 7,41.4235,3204.7341,379.3869,155.8313,
8,Question 8,35.5059,3455.2478,543.1084,473.4117,
9,Question 9,19.7255,3930.5961,522.7254,334.0182,
