Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,78.9019,115.0653,418.1804,315.6078,
2,Question 2,79.5595,448.4261,475.3842,1044.7933,
-2,,67.0667,735.1031,499.7123,201.2,
3,Question 3,80.217,1524.7801,397.7973,484.5895,
-3,,68.3817,1605.6546,439.8784,205.8026,
4,Question 4,80.8745,2021.2049,410.9476,453.6862,
5,Question 5,78.9019,2664.2558,443.1659,371.4967,
6,Question 6,78.9019,3044.9577,393.1947,558.8888,
-6,,62.464,3331.6347,453.0287,199.2274,
7,Question 7,81.532,3612.3942,372.1542,165.6941,
