Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,58.5189,226.1856,262.349,431.3306,
2,Question 2,55.8889,682.5018,481.3019,1375.524,
-2,,38.7935,756.1437,527.328,176.2144,
-2,,49.9712,1587.2442,509.5751,197.9124,
3,Question 3,58.5189,2116.5448,456.3163,881.7293,
-3,,45.3686,2486.7264,518.7803,165.6941,
4,Question 4,59.1765,3033.1224,424.098,318.2379,
5,Question 5,60.4915,3510.4792,454.3437,149.9137,
6,Question 6,59.834,3737.3223,326.7856,262.349,
7,Question 7,60.4915,4037.8072,464.2065,642.3934,
-7,,46.0261,4219.9392,499.7123,159.7764,
