Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,67.0667,63.1216,453.6862,316.2653,
-1,,414.8927,45.3686,130.8457,45.3686,
2,Question 2,64.4366,382.0169,468.8091,798.2247,
-2,,51.2863,696.3097,505.63,235.3908,
3,Question 3,65.0941,1206.5423,458.2888,957.3436,
-3,,51.9438,1543.8481,491.8221,248.5411,
4,Question 4,64.4366,2171.7761,320.8679,267.6091,
5,Question 5,61.149,2657.0231,437.2483,211.0627,
6,Question 6,60.4915,2886.4963,462.8914,215.6653,
7,Question 7,63.7791,3107.7896,337.9633,172.2693,
