Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,59.1765,199.2274,484.5895,269.5817,
2,Question 2,59.834,482.6169,490.5071,1482.0416,
-2,,49.3137,741.6783,516.1502,185.4196,
-2,,51.9438,1620.12,514.1777,172.2693,
3,Question 3,58.5189,1994.2467,439.8784,420.8104,
4,Question 4,59.1765,2650.4479,488.5346,407.0025,
5,Question 5a,59.1765,3108.0792,490.5071,554.9437,
-5,,44.0536,3322.4295,534.5607,191.3372,
6,Question 5b,60.4915,3666.968,456.9738,283.3895,
7,Question 6a,62.464,3970.7405,486.562,586.5045,
-7,,53.2588,4135.1196,537.1908,242.6235,
8,Question 6b,60.4915,4569.0803,486.562,454.3437,
