Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,58.5189,211.0627,359.6614,508.26,
2,Question 2,59.1765,929.0704,493.7947,1029.0129,
-2,,38.7935,1638.5305,529.9581,168.3242,
3,Question 3,60.4915,1973.2062,491.1646,398.4548,
4,Question 4,61.149,2651.1054,436.5908,352.4287,
5,Question 5a,59.1765,3075.2034,413.5777,583.8744,
-5,,47.9987,3349.3877,468.1516,167.0091,
6,Question 5b,61.149,3669.5981,425.413,220.9255,
7,Question 6a,62.464,3894.4686,491.8221,963.6216,
-7,,44.7111,3890.5235,92.7098,20.383,
-7,,53.2588,4214.3819,526.6705,163.7215,
8,Question 6b,57.8614,4867.2955,487.2195,220.2679,
