Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,52.6013,968.5214,342.566,94.6823,
2,Question 2,52.6013,1094.7645,492.4797,200.5425,
3,Question 3,51.9438,1328.8403,490.5071,194.6248,
4,Question 4,54.5738,1793.0468,327.4431,124.9281,
5,Question 5,53.9163,1945.5905,493.1372,180.817,
6,Question 6,53.2588,2154.0232,489.1921,223.5555,
7,Question 7a,53.2588,2753.678,477.3568,606.8875,
8,Question 7b,53.2588,3513.7667,468.1516,284.047,
9,Question 8a,54.5738,4438.2346,399.7699,106.5176,
10,Question 8b,49.9712,4576.313,491.8221,349.1411,
