sich beklagen;se plaindre
posieren;s'ériger en
anführen;citer
französische Sprache;français
Regal;rayon
Gestalt;taille
Lenz;printemps
Person;personnage
reiben;frotter
Turteltaube;tourterelle
Exerzitium;exercice
Flaumfeder;duvet
Kammer;cabinet noir
Pfeffer;poivre
rühren;toucher
tatsächlich;effectif
lüften;aérer
Schiff;navire
Weiher;étang
Pedell;appariteur
Wagen;véhicle
Briefträger;facteur
Wink;clin d'oeil
aufnötigen;obliger
Verlobung;fiançailles
Ronde;ronde
Nagel;ongle
zugetan;attaché
Walfisch;baleine
welch;comment
Anstellung;emploi
braten;frire
Opposition;opposition
nötig;nécessaire
sukzessive;peu à peu
Zider;cidre
erläutern;expliquer
finden;trouver
Israel;l'Israël
Bahnhof;gare
platt;plat
fort;en outre
Sorte;sorte
Masse;masse
Entwurf;projet
Raum;espace
Speisezimmer;salle à manger
einreißen;déchirer
sich empören;se révolter
Schiefergestein;ardoise
Wanze;punaise
auswendig;par coeur
Heer;armée
hier;ici
Kautschuck;caoutchouc
aufsuchen;chercher
Geschlecht;sexe
Hütte;échoppe
welches;qui
bezüglich;quant à
Pfirsich;pêche
Übung;exercice
Löffel;cuillère
Schicht;couche
steil;à pic
taub;sourd
Landgut;bien
schikanieren;chicaner
Ohr;oreille
Anwalt;défenseur
Cousin;cousin
überfallen;surprendre
Frankatur;port
Typus;modèle
Nuance;nuance
Katze;chat
Pulsader;artère
Steuerabgabe;impôt
anfragen;poser une question
Befehl;commandement
auch nur;n'importe
Stengel;tige
Braut;fiancée
Mund;bouche
Flanke;flanc
Pfad;sentier
Zikade;cigale
Paradies;paradis
Freundlichkeit;amabilité
Bahnsteig;quai
Genosse;compagnon
verfaulen;pourrir
schmoren;cuire à l'étouffée
häßlich;vilain
Sklave;esclave
Alternative;alternative
Ton;accent
Lunge;poumon
Umfrage;enquête
delikat;délicat
Bursche;gamin
keiner;personne
Brett;tablette
Krabbe;crabe
Abscheu;aversion
klatschen;clapoter
Geschäft;magasin
nachbilden;imiter
malen;peindre
Zahl;nombre
Ähre;épi
Komitee;comité
was;quoi
Auktion;vente aux enchères
normal;normal
Weite;distance
Überrock;pardessus
wie;comment
anpassen;adapter
Lehnstuhl;fauteuil
Lamm;agneau
Standarte;étendard
zwischen;entre
Hader;chiffon
hacken;hacher
verhüllen;voiler
extrem;extrême
Koje;cabine
wert;cher
breit;ample
entrüstet sein;s'indigner
verzeihen;pardonner
Schlagader;artère
Publikum;public
fest;continuel
strömen;couler
Limburg;le Limbourg
züchten;éduquer
durchseihen;filtrer
streuen;disperser
fähig;apte à
Abgeordneter;député
Krankheit;maladie
borgen;emprunter
neben;près de
Ochs;boeuf
Null;zero
Ungeheuer;monstre
Ahorn;érable
ermorden;tuer
lang;long
vergewissern;assurer
erlauben;permettre
Gewürz;épice
Fisch;poisson
hart machen;durcir
frivol;frivole
Frauenrock;jupe
Sellerie;céleri
Angst;crainte
Rauch;fumée
Büro;bureau
rauschen;sussurer
Einöde;désert
rauchen;fumer
Altar;autel
als;comme
Taxi;taxi
manchmal;quelquefois
Tag;jour
Grund;cause
Café;café
gestern;hier
Nickel;nickel
Amateur;amateur
Senf;moutarde
